Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Meta: dimensions,Meta: ean
variation,MU01007702,,1,0,visible,,Dimensiuni: 45 * 63 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,20,Size,12/14,,1,,Color,Negru,,1,,,,,,,,,,,,[45cm]·[63cm],8435782501346
variation,MU01000003,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,21,Size,XS,,1,,Color,Galben,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500097
variation,MU01000103,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,22,Size,S,,1,,Color,Galben,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500233
variation,MU01000203,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,23,Size,M,,1,,Color,Galben,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500370
variation,MU01000303,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,24,Size,L,,1,,Color,Galben,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500516
variation,MU01000403,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,25,Size,XL,,1,,Color,Galben,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500653
variation,MU01000503,,1,0,visible,,Dimensiuni: 62 * 76 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,26,Size,2XL,,1,,Color,Galben,,1,,,,,,,,,,,,[62cm]·[76cm],8435782500790
variation,MU01000603,,1,0,visible,,Dimensiuni: 65 * 79 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,27,Size,3XL,,1,,Color,Galben,,1,,,,,,,,,,,,[65cm]·[79cm],8435782500936
variation,MU01007503,,1,0,visible,,Dimensiuni: 34 * 48 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,28,Size,4/6,,1,,Color,Galben,,1,,,,,,,,,,,,[34cm]·[48cm],8435782501070
variation,MU01007603,,1,0,visible,,Dimensiuni: 40 * 55 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,29,Size,8/10,,1,,Color,Galben,,1,,,,,,,,,,,,[40cm]·[55cm],8435782501216
variation,MU01007703,,1,0,visible,,Dimensiuni: 45 * 63 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_03_2_1.jpg,MU0100,30,Size,12/14,,1,,Color,Galben,,1,,,,,,,,,,,,[45cm]·[63cm],8435782501353
variation,MU01000005,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,31,Size,XS,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500103
variation,MU01000105,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,32,Size,S,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500240
variation,MU01000205,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,33,Size,M,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500387
variation,MU01000305,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,34,Size,L,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500523
variation,MU01000405,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,35,Size,XL,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500660
variation,MU01000505,,1,0,visible,,Dimensiuni: 62 * 76 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,36,Size,2XL,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[62cm]·[76cm],8435782500806
variation,MU01000605,,1,0,visible,,Dimensiuni: 65 * 79 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,37,Size,3XL,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[65cm]·[79cm],8435782500943
variation,MU01007505,,1,0,visible,,Dimensiuni: 34 * 48 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,38,Size,4/6,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[34cm]·[48cm],8435782501087
variation,MU01007605,,1,0,visible,,Dimensiuni: 40 * 55 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,39,Size,8/10,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[40cm]·[55cm],8435782501223
variation,MU01007705,,1,0,visible,,Dimensiuni: 45 * 63 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_05_2_1.jpg,MU0100,40,Size,12/14,,1,,Color,Albastru regal,,1,,,,,,,,,,,,[45cm]·[63cm],8435782501360
variation,MU01000010,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,41,Size,XS,,1,,Color,Sky blue,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500110
variation,MU01000110,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,42,Size,S,,1,,Color,Sky blue,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500257
variation,MU01000210,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,43,Size,M,,1,,Color,Sky blue,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500394
variation,MU01000310,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,44,Size,L,,1,,Color,Sky blue,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500530
variation,MU01000410,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,45,Size,XL,,1,,Color,Sky blue,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500677
variation,MU01000510,,1,0,visible,,Dimensiuni: 62 * 76 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,46,Size,2XL,,1,,Color,Sky blue,,1,,,,,,,,,,,,[62cm]·[76cm],8435782500813
